# RRKM rate for corannulene isomer 
En(eV)     K(E) s-1
11.951994  9.314795e+10
11.964392  9.383771e+10
11.976790  9.453127e+10
11.989189  9.522872e+10
12.001587  9.592975e+10
12.013985  9.663520e+10
12.026384  9.734516e+10
12.038782  9.805813e+10
12.051180  9.877545e+10
12.063579  9.949716e+10
12.075977  1.002225e+11
12.088375  1.009517e+11
12.100774  1.016854e+11
12.113172  1.024228e+11
12.125570  1.031646e+11
12.137969  1.039099e+11
12.150367  1.046600e+11
12.162765  1.054137e+11
12.175164  1.061717e+11
12.187562  1.069340e+11
12.199960  1.077004e+11
12.212359  1.084713e+11
12.224757  1.092461e+11
12.237155  1.100244e+11
12.249554  1.108082e+11
12.261952  1.115953e+11
12.274350  1.123876e+11
12.286749  1.131832e+11
12.299147  1.139839e+11
12.311545  1.147880e+11
12.323944  1.155970e+11
12.336342  1.164103e+11
12.348740  1.172277e+11
12.361139  1.180500e+11
12.373537  1.188762e+11
12.385935  1.197072e+11
12.398334  1.205423e+11
12.410732  1.213819e+11
12.423130  1.222249e+11
12.435529  1.230738e+11
12.447927  1.239271e+11
12.460325  1.247840e+11
12.472724  1.256463e+11
12.485122  1.265122e+11
12.497520  1.273838e+11
12.509919  1.282589e+11
12.522317  1.291391e+11
12.534715  1.300235e+11
12.547114  1.309127e+11
12.559512  1.318069e+11
12.571910  1.327048e+11
12.584309  1.336080e+11
12.596707  1.345157e+11
12.609105  1.354285e+11
12.621504  1.363451e+11
12.633902  1.372669e+11
12.646300  1.381935e+11
12.658699  1.391244e+11
12.671097  1.400606e+11
12.683495  1.410012e+11
12.695894  1.419466e+11
12.708292  1.428966e+11
12.720690  1.438517e+11
12.733089  1.448119e+11
12.745487  1.457764e+11
12.757885  1.467454e+11
12.770284  1.477198e+11
12.782682  1.486996e+11
12.795080  1.496838e+11
12.807479  1.506730e+11
12.819877  1.516670e+11
12.832275  1.526660e+11
12.844674  1.536693e+11
12.857072  1.546783e+11
12.869470  1.556917e+11
12.881869  1.567113e+11
12.894267  1.577351e+11
12.906665  1.587635e+11
12.919064  1.597975e+11
12.931462  1.608363e+11
12.943860  1.618807e+11
12.956259  1.629296e+11
12.968657  1.639837e+11
12.981055  1.650432e+11
12.993454  1.661083e+11
13.005852  1.671773e+11
13.018250  1.682524e+11
13.030649  1.693321e+11
13.043047  1.704177e+11
13.055445  1.715078e+11
13.067844  1.726040e+11
13.080242  1.737047e+11
13.092640  1.748109e+11
13.105039  1.759224e+11
13.117437  1.770392e+11
13.129835  1.781615e+11
13.142234  1.792890e+11
13.154632  1.804218e+11
13.167030  1.815594e+11
13.179429  1.827033e+11
13.191827  1.838522e+11
13.204225  1.850063e+11
13.216624  1.861662e+11
13.229022  1.873311e+11
13.241420  1.885016e+11
13.253819  1.896786e+11
13.266217  1.908601e+11
13.278615  1.920463e+11
13.291014  1.932392e+11
13.303412  1.944372e+11
13.315810  1.956407e+11
13.328209  1.968502e+11
13.340607  1.980644e+11
13.353005  1.992847e+11
13.365404  2.005119e+11
13.377802  2.017416e+11
13.390200  2.029802e+11
13.402599  2.042235e+11
13.414997  2.054712e+11
13.427395  2.067254e+11
13.439794  2.079853e+11
13.452192  2.092516e+11
13.464590  2.105225e+11
13.476989  2.117994e+11
13.489387  2.130828e+11
13.501785  2.143721e+11
13.514184  2.156658e+11
13.526582  2.169665e+11
13.538980  2.182729e+11
13.551379  2.195847e+11
13.563777  2.209024e+11
13.576175  2.222262e+11
13.588574  2.235558e+11
13.600972  2.248915e+11
13.613370  2.262327e+11
13.625769  2.275800e+11
13.638167  2.289334e+11
13.650565  2.302927e+11
13.662964  2.316581e+11
13.675362  2.330293e+11
13.687760  2.344067e+11
13.700159  2.357901e+11
13.712557  2.371797e+11
13.724955  2.385753e+11
13.737354  2.399766e+11
13.749752  2.413843e+11
13.762150  2.427992e+11
13.774549  2.442186e+11
13.786947  2.456451e+11
13.799345  2.470771e+11
13.811744  2.485149e+11
13.824142  2.499585e+11
13.836540  2.514102e+11
13.848939  2.528668e+11
13.861337  2.543317e+11
13.873735  2.557989e+11
13.886134  2.572762e+11
13.898532  2.587584e+11
13.910930  2.602466e+11
13.923329  2.617409e+11
13.935727  2.632428e+11
13.948125  2.647497e+11
13.960524  2.662639e+11
13.972922  2.677835e+11
13.985320  2.693103e+11
13.997719  2.708433e+11
14.010117  2.723819e+11
14.022515  2.739286e+11
14.034914  2.754814e+11
14.047312  2.770403e+11
14.059710  2.786055e+11
14.072109  2.801772e+11
14.084507  2.817548e+11
14.096905  2.833397e+11
14.109304  2.849312e+11
14.121702  2.865296e+11
14.134100  2.881345e+11
14.146499  2.897452e+11
14.158897  2.913630e+11
14.171295  2.929878e+11
14.183694  2.946189e+11
14.196092  2.962564e+11
14.208490  2.979007e+11
14.220889  2.995521e+11
14.233287  3.012101e+11
14.245685  3.028746e+11
14.258084  3.045459e+11
14.270482  3.062241e+11
14.282880  3.079092e+11
14.295279  3.096021e+11
14.307677  3.112976e+11
14.320075  3.130049e+11
14.332474  3.147182e+11
14.344872  3.164370e+11
14.357270  3.181622e+11
14.369669  3.198957e+11
14.382067  3.216361e+11
14.394465  3.233828e+11
14.406864  3.251344e+11
14.419262  3.268944e+11
14.431660  3.286625e+11
14.444059  3.304374e+11
14.456457  3.322185e+11
14.468855  3.340087e+11
14.481254  3.358046e+11
14.493652  3.376067e+11
14.506050  3.394154e+11
14.518449  3.412322e+11
14.530847  3.430559e+11
14.543245  3.448878e+11
14.555644  3.467252e+11
14.568042  3.485712e+11
14.580440  3.504237e+11
14.592839  3.522836e+11
14.605237  3.541500e+11
14.617635  3.560238e+11
14.630034  3.579057e+11
14.642432  3.597939e+11
14.654830  3.616897e+11
14.667229  3.635930e+11
14.679627  3.655029e+11
14.692025  3.674208e+11
14.704424  3.693459e+11
14.716822  3.712775e+11
14.729220  3.732177e+11
14.741619  3.751648e+11
14.754017  3.771191e+11
